cv_score,holdout_score,params,iteration,estimators,time
0.7501194006577634,0.7548433965060956,"{'objective': 'binary', 'learning_rate': 0.1976703782977257, 'num_leaves': 23, 'num_threads': 4, 'seed': 0, 'max_depth': 7, 'min_data_in_leaf': 21, 'bagging_fraction': 0.9273594238115286, 'bagging_freq': 5, 'feature_fraction': 0.9634686968807598, 'lambda_l1': (0.049829722891763795,), 'lambda_l2': (0.7419762937244645,), 'scale_pos_weight': 11, 'metric': 'auc'}",14,47,0.48243009646733603
0.7533130991109,0.7579407830475715,"{'objective': 'binary', 'learning_rate': 0.029879648722636362, 'num_leaves': 117, 'num_threads': 4, 'seed': 0, 'max_depth': 7, 'min_data_in_leaf': 34, 'bagging_fraction': 0.8777143737632116, 'bagging_freq': 5, 'feature_fraction': 0.7562337552791367, 'lambda_l1': (0.7937533958359948,), 'lambda_l2': (0.4737429528471614,), 'scale_pos_weight': 11, 'metric': 'auc'}",15,200,2.2299026449521384
0.7510503655960991,0.7557815209134713,"{'objective': 'binary', 'learning_rate': 0.020590211268456116, 'num_leaves': 22, 'num_threads': 4, 'seed': 0, 'max_depth': 9, 'min_data_in_leaf': 63, 'bagging_fraction': 0.915713653743623, 'bagging_freq': 5, 'feature_fraction': 0.8967958362369017, 'lambda_l1': (0.6647834949393138,), 'lambda_l2': (0.6621471828025683,), 'scale_pos_weight': 11, 'metric': 'auc'}",16,200,1.999183170000712
0.754140648656515,0.75805496446757,"{'objective': 'binary', 'learning_rate': 0.043291807857403136, 'num_leaves': 22, 'num_threads': 4, 'seed': 0, 'max_depth': 5, 'min_data_in_leaf': 83, 'bagging_fraction': 0.785413458875404, 'bagging_freq': 5, 'feature_fraction': 0.9756066591434289, 'lambda_l1': (0.4918583860299456,), 'lambda_l2': (0.606652982444785,), 'scale_pos_weight': 11, 'metric': 'auc'}",17,200,1.420539959271749
0.7369197052314481,0.7404805480309175,"{'objective': 'binary', 'learning_rate': 0.0087143743295038, 'num_leaves': 120, 'num_threads': 4, 'seed': 0, 'max_depth': 4, 'min_data_in_leaf': 54, 'bagging_fraction': 0.9134665501242237, 'bagging_freq': 5, 'feature_fraction': 0.8595639107768756, 'lambda_l1': (0.16411373030977194,), 'lambda_l2': (0.9434530721823011,), 'scale_pos_weight': 11, 'metric': 'auc'}",18,200,1.4481213092803955
0.7521740832805037,0.7562071612611639,"{'objective': 'binary', 'learning_rate': 0.027249124509984617, 'num_leaves': 62, 'num_threads': 4, 'seed': 0, 'max_depth': 5, 'min_data_in_leaf': 23, 'bagging_fraction': 0.7555932141559369, 'bagging_freq': 5, 'feature_fraction': 0.8810890529454392, 'lambda_l1': (0.917287704308868,), 'lambda_l2': (0.4811161817104429,), 'scale_pos_weight': 11, 'metric': 'auc'}",19,200,1.447604278723399
0.7548635528641704,0.7589471021049857,"{'objective': 'binary', 'learning_rate': 0.039103300603373324, 'num_leaves': 52, 'num_threads': 4, 'seed': 0, 'max_depth': 8, 'min_data_in_leaf': 80, 'bagging_fraction': 0.896830152233524, 'bagging_freq': 5, 'feature_fraction': 0.9168205610959745, 'lambda_l1': (0.16788052764875372,), 'lambda_l2': (0.6359390303102115,), 'scale_pos_weight': 11, 'metric': 'auc'}",20,198,2.3533079266548156
0.753401577901412,0.7587577473315366,"{'objective': 'binary', 'learning_rate': 0.050530508334541015, 'num_leaves': 84, 'num_threads': 4, 'seed': 0, 'max_depth': 9, 'min_data_in_leaf': 50, 'bagging_fraction': 0.8893327203170494, 'bagging_freq': 5, 'feature_fraction': 0.8048999175054018, 'lambda_l1': (0.6480876797371854,), 'lambda_l2': (0.27618886324681635,), 'scale_pos_weight': 11, 'metric': 'auc'}",21,145,2.010253103574117
0.7545514622737529,0.7585013770559966,"{'objective': 'binary', 'learning_rate': 0.08290712812839385, 'num_leaves': 36, 'num_threads': 4, 'seed': 0, 'max_depth': 8, 'min_data_in_leaf': 69, 'bagging_fraction': 0.962026188948942, 'bagging_freq': 5, 'feature_fraction': 0.9362707071269495, 'lambda_l1': (0.9719749637479607,), 'lambda_l2': (0.5885714731399041,), 'scale_pos_weight': 11, 'metric': 'auc'}",22,95,1.1366360187530518
0.7539924099642248,0.7584100055583822,"{'objective': 'binary', 'learning_rate': 0.07131811313726824, 'num_leaves': 56, 'num_threads': 4, 'seed': 0, 'max_depth': 8, 'min_data_in_leaf': 85, 'bagging_fraction': 0.9952830106382159, 'bagging_freq': 5, 'feature_fraction': 0.8320909479108735, 'lambda_l1': (0.2780904327349113,), 'lambda_l2': (0.3064029257280992,), 'scale_pos_weight': 11, 'metric': 'auc'}",23,112,1.4248614033063254
